Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
487,TUCUMAN,TU,LA COCHA,2,SI,SI,NO,64.3,81.1,92.1,83.9,10.8,86.1,1.3,0.9,85.3,47.8,80.6,35.8,NO,SI
488,TUCUMAN,TU,LEALES,1,SI,SI,NO,69.4,77.8,80.7,80.6,15.6,84.3,20.9,13.7,86.9,41.7,79.6,32.6,SI,SI
489,TUCUMAN,TU,LULES,2,SI,SI,NO,75.2,86.5,88.7,86.8,21,87.1,52.7,35.6,80.2,68.7,86.3,44.9,SI,SI
490,TUCUMAN,TU,MONTEROS,2,SI,SI,NO,75.8,87.6,94,88.7,17.3,90.8,37.5,27.5,82.8,67.7,84.9,44,NO,NO
491,TUCUMAN,TU,RIO CHICO,2,SI,SI,NO,72.8,88.4,94.4,89.2,20.4,90.1,54.1,30.9,83.6,56.2,82,41.1,SI,NO
492,TUCUMAN,TU,SIMOCA,1,SI,SI,NO,59.5,70.1,73.5,77,16.4,80,15,12.1,83.8,47,76.8,29.6,SI,SI
493,TUCUMAN,TU,TAFI DEL VALLE,1,SI,SI,NO,63,79.6,73.7,85.1,16.9,86.1,1.4,2.5,82.4,46.3,79.9,35.7,NO,NO
494,TUCUMAN,TU,TAFI VIEJO,3,SI,SI,NO,78.3,89.8,87,89.7,24.7,89,42.2,48.2,76.3,66.8,87.2,52,NO,NO
495,TUCUMAN,TU,TRANCAS,1,SI,SI,NO,57.2,71.8,81,72.3,13.8,79.5,2.7,18,75.3,38.5,79,32.4,SI,NO
496,TUCUMAN,TU,YERBA BUENA,0,NO,SI,NO,88.9,95.3,88.8,95.4,49.6,95.4,62.1,68.7,75.7,84.2,92.4,68.1,SI,NO
