Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
91,BUENOS AIRES,BA,NECOCHEA,15,SI,NO,NO,94.7,97.5,93,99.1,28.9,97,80.1,77.2,65.6,83.4,91.4,62.9,SI,SI
92,BUENOS AIRES,BA,OLAVARRIA,15,SI,NO,NO,95.5,96.3,88.1,98.9,24.4,95.6,51.7,87.4,63.8,81.6,89.6,64.8,NO,SI
93,BUENOS AIRES,BA,PATAGONES,6,SI,NO,NO,91.2,94.7,95,95.8,21.9,96.1,74.3,88.3,63.8,79.8,89.4,59.7,SI,NO
94,BUENOS AIRES,BA,PEHUAJO,7,SI,NO,NO,93.6,90.1,44.9,98.3,22.1,92.1,48.9,70.9,65.9,74.2,87.5,54.2,NO,SI
95,BUENOS AIRES,BA,PELLEGRINI,1,SI,SI,NO,94.1,96.4,80.7,99.3,19.5,96.8,81.7,80,64.7,67.9,87,52.8,NO,SI
96,BUENOS AIRES,BA,PERGAMINO,17,SI,NO,NO,90.4,96.4,89.8,97.9,25.7,94.1,82.2,63.2,67.7,76.5,88.4,59.1,NO,SI
97,BUENOS AIRES,BA,PILA,1,SI,SI,NO,91.9,96.5,78.2,99,17.2,95.8,72.4,52.6,67,69.5,84.7,47.6,SI,SI
98,BUENOS AIRES,BA,PILAR,24,SI,NO,NO,82.3,88.3,35.6,96.1,30.2,84.2,24.4,41.2,69.6,80.7,92.1,58.6,NO,NO
99,BUENOS AIRES,BA,PINAMAR,3,SI,SI,NO,94,96.8,77.3,98.6,39,95.8,36.5,73.8,54.2,89.2,93.8,65,NO,SI
100,BUENOS AIRES,BA,PRESIDENTE PERON,1,SI,SI,NO,67.6,84.1,62.5,94.8,14.7,73.3,38.1,42.5,77.5,79.4,91.4,43,SI,SI
101,BUENOS AIRES,BA,PUAN,7,SI,NO,NO,96.1,97.6,90.7,99.4,19.3,98.7,37.7,83.4,70.2,79.4,86.6,60.1,SI,NO
102,BUENOS AIRES,BA,PUNTA INDIO,2,SI,SI,NO,89.5,95.1,76.8,98.6,19.5,94.9,66.8,36.9,65.1,81.3,87.5,57.6,SI,NO
103,BUENOS AIRES,BA,QUILMES,30,SI,NO,NO,85.6,93.1,95,95.7,24.3,87.6,78.9,65.8,70.2,82.1,91.1,58.4,NO,NO
104,BUENOS AIRES,BA,RAMALLO,5,SI,NO,NO,89.2,96.1,94.8,97.1,21.9,93.9,78.8,51.6,70.9,72.9,87,51.7,NO,SI
105,BUENOS AIRES,BA,RAUCH,2,SI,SI,NO,95.1,96.5,87.8,98.4,25.8,97.7,81.8,78.4,65.3,64.4,82.6,52.7,SI,SI
106,BUENOS AIRES,BA,RIVADAVIA,3,SI,SI,NO,93.9,96,39.7,99,20.6,96.6,66.3,52.5,66.9,82.2,89.8,59.4,SI,SI
107,BUENOS AIRES,BA,ROJAS,5,SI,NO,NO,91.3,97.6,92.2,98.7,21.4,96,80.7,63.5,70.4,79.1,89.2,60.2,SI,NO
108,BUENOS AIRES,BA,ROQUE PEREZ,3,SI,SI,NO,93.5,95.6,60,98.5,18.4,96.3,60.2,64.7,63.7,84.7,89.8,55.1,SI,NO
109,BUENOS AIRES,BA,SAAVEDRA,5,SI,NO,NO,97.2,98.6,94.7,99.4,25.7,99.1,74.3,85.7,64,85.4,90.4,65,NO,NO
110,BUENOS AIRES,BA,SALADILLO,6,SI,NO,NO,92.9,97.1,88.8,98.9,22.2,96.6,64.2,65.1,65.2,77.8,87.3,56.1,SI,NO
111,BUENOS AIRES,BA,SALLIQUELO,4,SI,SI,NO,96.1,96.9,88,99.3,20.1,97.2,50.7,82.7,67.9,85.1,89.7,60.8,NO,NO
112,BUENOS AIRES,BA,SALTO,5,SI,NO,NO,90,95.9,91.9,97.9,22.1,93.5,49.2,52.9,65.5,83.9,90,55.1,SI,SI
113,BUENOS AIRES,BA,SAN ANDRES DE GILES,3,SI,SI,NO,86.6,93,72.9,96.2,20.9,90.9,44.5,51.3,61.2,82.2,89.3,55.4,NO,NO
114,BUENOS AIRES,BA,SAN ANTONIO DE ARECO,3,SI,SI,NO,93.6,97.5,82.1,98.5,27.7,97,46.4,66.7,65.9,83.6,90.8,63.8,NO,SI
115,BUENOS AIRES,BA,SAN CAYETANO,21,SI,NO,NO,94.9,98.6,87.7,99.2,22,98,80.8,80.2,69.4,79.5,88.6,60.8,NO,NO
116,BUENOS AIRES,BA,SAN FERNANDO,14,SI,NO,NO,92,96.6,96.9,97.3,25.3,94.1,93.1,73.5,61.9,82.8,91.9,62.8,NO,NO
117,BUENOS AIRES,BA,SAN ISIDRO,58,SI,NO,SI,95.5,98.2,98,98.9,47.9,97,94.6,87.9,66.8,89.4,93.3,77.5,NO,NO
118,BUENOS AIRES,BA,SAN MIGUEL,19,SI,NO,NO,87.3,92.1,42.8,97.4,25.3,86.9,49.7,64.2,63.8,83.6,92.4,59.9,SI,SI
119,BUENOS AIRES,BA,SAN NICOLAS,10,SI,NO,NO,88.7,96.6,97.8,97.6,23.1,93.7,90.8,74.7,69.1,76.6,89,57.4,NO,NO
120,BUENOS AIRES,BA,SAN PEDRO,2,SI,SI,NO,86.4,94.6,93.3,96,21.4,90.9,79,50.6,68.2,72.9,86.1,50.1,NO,NO
121,BUENOS AIRES,BA,SAN VICENTE,3,SI,SI,NO,71.6,84.7,46.6,95.7,17.1,79.6,43.7,41.3,77.4,72.6,90.9,47.6,SI,SI
122,BUENOS AIRES,BA,SUIPACHA,1,SI,SI,NO,92.1,95.7,75.9,98.2,25.4,95.8,53.4,71.3,67.3,83.7,89.8,59.3,SI,SI
123,BUENOS AIRES,BA,TANDIL,14,SI,NO,NO,95.9,97.7,94,99.1,29.2,97.2,86,82,57.8,83.2,91.9,68,SI,NO
124,BUENOS AIRES,BA,TAPALQUE,2,SI,SI,NO,93.4,94,76.8,98.3,20,97,73.1,76,64.2,77.9,86.8,51.6,NO,SI
125,BUENOS AIRES,BA,TIGRE,33,SI,NO,NO,89.1,93.9,72.7,96.9,33,90.8,34.9,60.7,66.8,87.2,93.1,64.6,SI,NO
126,BUENOS AIRES,BA,TORDILLO,1,SI,SI,NO,88.3,91,61.7,97.6,11.1,91.8,30.7,42.3,68.5,69.6,91.2,42.5,SI,NO
127,BUENOS AIRES,BA,TORNQUIST,3,SI,SI,NO,95.7,98.3,90,99.2,23.5,98.4,48.2,66.3,61.4,87.3,91.3,63.5,SI,SI
128,BUENOS AIRES,BA,TRENQUE LAUQUEN,6,SI,NO,NO,96,97.7,77.9,99.2,25.2,97.8,86.6,78.7,64.1,86.4,91.4,62.8,NO,NO
129,BUENOS AIRES,BA,TRES ARROYOS,11,SI,NO,NO,96.1,97.9,92,99.1,28.5,97.2,71.4,77.6,66.7,83,90.4,65.2,NO,SI
130,BUENOS AIRES,BA,TRES DE FEBRERO,35,SI,NO,NO,95.8,97.9,96.6,98.7,25.1,96.5,94.2,88.6,61.8,86.4,92.6,68.1,NO,SI
131,BUENOS AIRES,BA,VERA,6,SI,NO,NO,93.6,97.2,92.1,99,16.9,96.6,61.9,78.7,69.8,82.2,87.6,57.1,NO,SI
132,BUENOS AIRES,BA,VICENTE LOPEZ,46,SI,NO,NO,97.8,98.9,98.6,99.4,46.8,98.7,98.4,94.3,63.5,91.9,94.1,82.2,SI,NO
133,BUENOS AIRES,BA,VILLA GESELL,3,SI,SI,NO,90,96.2,89.1,98.8,29.1,94.2,59.9,53.3,60,79.9,91.7,58.9,NO,SI
134,BUENOS AIRES,BA,VILLARINO,6,SI,NO,NO,85.9,87.8,88.3,87.9,17.2,90,33.3,49.3,65,74.8,88,47.2,NO,SI
135,BUENOS AIRES,BA,ZARATE,12,SI,NO,NO,85.2,93.4,88,96,24.2,87.6,63.2,57.7,70,79.3,90.9,57.9,NO,NO
136,CABA,AEP,CABA,817,SI,NO,SI,97.6,98.7,98.2,98.1,36.6,98.6,99.2,94,52.9,90.6,94,81.3,NO,NO
137,CATAMARCA,CA,AMBATO,0,NO,SI,NO,60.6,89,86.6,91,17.8,93.1,4,1.8,80.7,36.8,79.1,39,NO,NO
138,CATAMARCA,CA,ANCASTI,0,NO,SI,NO,39.7,62.9,59,72.5,13.6,75.2,6,2.3,88.6,33,59.4,29.1,SI,NO
139,CATAMARCA,CA,ANDALGALA,1,SI,SI,NO,72.7,89.7,92.9,88.4,18.7,93.6,23.9,1.6,80,36.1,79.5,46.4,NO,NO
140,CATAMARCA,CA,ANTOFAGASTA DE LA SIERRA,0,NO,SI,NO,53,84,90.2,85.4,11.9,91.1,42.6,1.3,80.3,45.2,73,35.4,NO,NO
141,CATAMARCA,CA,BELEN,1,SI,SI,NO,67.4,87.5,90.7,87.1,16.2,93.4,57.3,2,78.4,60.4,80.1,43.7,NO,SI
142,CATAMARCA,CA,CAPAYAN,0,NO,SI,NO,63.6,81.4,74.8,87.4,11.7,83.7,3.6,2.4,84.7,41.3,79,36.1,NO,NO
143,CATAMARCA,CA,CAPITAL,7,SI,NO,NO,87.1,95.5,98.3,95.5,27.4,94.8,91.3,35.1,75.1,83.7,91.6,58.3,SI,SI
144,CATAMARCA,CA,EL ALTO,0,NO,SI,NO,50.7,71.7,83.3,78.5,10.8,81.4,3.8,1.8,85.1,23.3,64.2,25.7,SI,SI
145,CATAMARCA,CA,FRAY MAMERTO,0,NO,SI,NO,81.8,94.1,98.5,94,21.1,94.8,8.6,13,82.9,70.3,90,56.2,NO,SI
146,CATAMARCA,CA,LA PAZ,0,NO,SI,NO,64.2,76.4,90.8,84,12.7,78.6,27.9,6.5,80.8,27.6,78.4,35.2,NO,SI
147,CATAMARCA,CA,PACLIN,0,NO,SI,NO,68.5,91.2,90.9,91.9,17,94.9,41.1,2,83.6,52.2,80,38.1,SI,SI
148,CATAMARCA,CA,POMAN,1,SI,SI,NO,64.9,88.8,89.9,91.4,13.1,91.4,1.2,1.8,82.4,40.9,82.8,43.9,NO,NO
149,CATAMARCA,CA,SANTA MARIA,2,SI,SI,NO,68.7,86.3,93.2,86.1,18.2,92,40.4,2.1,73.7,68.6,80,45.1,SI,SI
150,CATAMARCA,CA,SANTA ROSA,1,SI,SI,NO,63.6,81.1,89.9,86.1,12.1,87.5,1.4,1.7,82,33.4,79,34.8,NO,SI
151,CATAMARCA,CA,TINOGASTA,2,SI,SI,NO,69.9,86.8,88.9,89.9,14.6,90.9,26.4,3,77.5,41.9,77.5,37.9,NO,SI
152,CATAMARCA,CA,VALLE VIEJO,1,SI,SI,NO,80.6,91.8,97.1,93.6,25.6,92.7,2.8,16.5,81.8,76.3,88.6,58.7,NO,SI
153,CORDOBA,CB,CALAMUCHITA,7,SI,NO,NO,89.2,94.5,87.4,97,21,95.4,13.5,24.7,61.1,69.5,88.4,54.2,SI,NO
154,CORDOBA,CB,CAPITAL,124,SI,NO,SI,92.7,96.9,98.3,98,27.8,96.7,56.9,71,52,83.7,92.1,65.6,NO,SI
155,CORDOBA,CB,COLON,16,SI,NO,NO,88.1,95,93.2,97.3,29.9,94.9,18.2,32.5,64.9,76.7,90.1,59.3,NO,NO
156,CORDOBA,CB,CRUZ DEL EJE,4,SI,SI,NO,75,86.6,91.7,91.7,13.3,89.1,19.7,5.1,69.1,50.4,76.4,36.8,NO,SI
157,CORDOBA,CB,GENERAL ROCA,9,SI,NO,NO,89.5,92.7,53.1,97.5,16.1,94.4,33.6,18.1,67.8,77.8,87.7,52.6,NO,SI
158,CORDOBA,CB,GENERAL SAN MARTIN,19,SI,NO,NO,94.3,97.2,94.1,98.4,23.1,97.3,81.9,75.6,56.3,84.6,91.4,61.5,SI,NO
159,CORDOBA,CB,ISCHILIN,2,SI,SI,NO,82.4,89.2,91.8,92.7,15.1,90.5,3.1,27,68,58,78.6,42.2,NO,SI
160,CORDOBA,CB,JUAREZ CELMAN,16,SI,NO,NO,93.2,97.2,92.1,98.1,20.4,97.6,54.2,58.7,63.5,79.5,89.3,56.7,SI,NO
161,CORDOBA,CB,MARCOS JUAREZ,26,SI,NO,NO,95.2,96.8,92.9,98.6,26.6,97.6,48.4,66.3,67.7,80.7,89,58.7,SI,SI
162,CORDOBA,CB,MINAS,0,NO,SI,NO,59.8,77.6,71.9,88.1,8,82.8,2.9,0.8,76.1,31.3,64.6,24.6,NO,NO
163,CORDOBA,CB,POCHO,1,SI,SI,NO,54.5,77.3,55.4,87.7,10,88.6,1.4,0.6,74.9,23,69.1,24.7,NO,SI
164,CORDOBA,CB,PRESIDENTE ROQUE SAENZ PEÑA,8,SI,NO,NO,93.2,91.5,80.1,98.1,19.9,94.6,52.7,46.3,64.8,81.1,88.3,57.5,NO,NO
165,CORDOBA,CB,PUNILLA,13,SI,NO,NO,91,95.5,89.5,98.4,26,96.1,29.7,27.9,57.6,73.7,89.3,56.3,SI,NO
166,CORDOBA,CB,RIO CUARTO,40,SI,NO,NO,92.8,97.3,94.9,98.3,23.3,97,71.2,64.9,59.7,78.9,88.9,59.1,NO,NO
167,CORDOBA,CB,RIO PRIMERO,7,SI,NO,NO,87.9,92.6,88,93.5,16.6,94.1,5.4,15.6,62.3,70.1,86.2,47.4,SI,NO
168,CORDOBA,CB,RIO SECO,1,SI,SI,NO,66.2,80.5,81.5,89.5,9.9,84.7,2.8,2.3,73.6,29.2,73.8,29.5,SI,SI
169,CORDOBA,CB,RIO SEGUNDO,20,SI,NO,NO,92.4,96.3,96.2,97.4,23.4,97.3,18.1,62.5,64.9,77.4,88.2,55.1,SI,SI
170,CORDOBA,CB,SAN ALBERTO,2,SI,SI,NO,79.5,91.1,85.3,95.4,16.7,93.4,1.9,4.5,69.5,55.4,82.5,43.3,NO,NO
171,CORDOBA,CB,SAN JAVIER,3,SI,SI,NO,80.4,90.9,93.1,93.7,18.2,91.9,2.7,21.1,66.8,64.5,84,46.6,NO,SI
172,CORDOBA,CB,SAN JUSTO,43,SI,NO,NO,94.7,96.4,89.5,96.8,25.3,97.3,44.2,42.3,60.3,82.6,89.9,58.2,SI,NO
173,CORDOBA,CB,SANTA MARIA,8,SI,NO,NO,87.2,93,87,96.6,24.4,94.3,27.8,32.5,66.4,71.8,88.3,55.3,SI,NO
174,CORDOBA,CB,SOBREMONTE,1,SI,SI,NO,67.9,80.4,57.2,91.4,9.8,85.2,0.7,0.6,74.7,29.5,69.5,24.2,NO,NO
175,CORDOBA,CB,SOBREMONTE,1,SI,SI,NO,67.9,80.4,57.2,91.4,9.8,85.2,0.7,0.6,74.7,29.5,69.5,24.2,NO,NO
176,CORDOBA,CB,TERCERO ARRIBA,20,SI,NO,NO,93.7,97.3,96.9,98.5,25.1,98,50.1,66.5,63.5,80.7,89.1,59.2,SI,NO
177,CORDOBA,CB,TOTORAL,2,SI,SI,NO,83,92.7,90,95.2,18.5,94.7,3.1,30.9,66,56,84.9,44.6,NO,SI
178,CORDOBA,CB,TULUMBA,1,SI,SI,NO,66.7,84.2,81.5,89.8,9.5,87.5,2.4,1.5,72.5,43.2,73.5,29.5,NO,NO
179,CORDOBA,CB,UNION,24,SI,NO,NO,93.5,96.5,95.4,97.8,22.4,96.9,45.8,54.4,66.6,80.3,88.9,56.6,SI,NO
180,CHACO,CH,ALMIRANTE BROWN,3,SI,SI,NO,56.4,47.7,39.6,66.2,13.2,55.4,1.9,1.9,80.7,52.1,80.6,33.1,NO,NO
181,CHACO,CH,BERMEJO,2,SI,SI,NO,58.7,79.5,86.1,87.7,11.1,77.7,16.9,2,79.8,54.4,81.6,37.3,NO,NO
182,CHACO,CH,CHACABUCO,2,SI,SI,NO,80.1,64,20.5,82,19.1,73,10.5,3.7,72.3,66.8,84.5,49.2,NO,SI
183,CHACO,CH,COMANDANTE FERNANDEZ,7,SI,NO,NO,75.7,74,79.9,87.7,18,76.5,36,4.2,71.8,60.1,84.7,50.5,NO,NO
184,CHACO,CH,12 DE OCTUBRE,1,SI,SI,NO,76.6,57.2,28.1,82.2,12.7,67.4,1.3,1.5,74.4,62.1,84.5,41.6,NO,SI
185,CHACO,CH,2 DE ABRIL,1,SI,SI,NO,77.1,52.8,1.6,79.5,19.3,63.7,1.5,2,72.7,64.8,82.9,40.5,SI,SI
186,CHACO,CH,FRAY JUSTO SANTA MARIA DE ORO,2,SI,SI,NO,76.6,49,34.5,78.2,18.8,61.8,2.5,2.9,72.1,64.9,84.8,43.9,NO,NO
187,CHACO,CH,GENERAL BELGRANO,1,SI,SI,NO,62.3,42.7,13.9,64.9,14.3,52.2,2.4,2.5,82.1,57.1,78.4,38.9,NO,NO
188,CHACO,CH,CORONEL DONOVAN,0,NO,SI,NO,63.6,83.7,88.8,88,9.6,80.9,8.5,2.2,81.6,65,83.6,38.4,SI,NO
189,CHACO,CH,GENERAL GUEMES,2,SI,SI,NO,55.8,59.3,70.5,62.3,15.1,56.4,8.1,2.5,80,45.2,69.9,32.2,SI,NO
190,CHACO,CH,INDEPENDENCIA,2,SI,SI,NO,61.7,37.7,27.1,71.5,10.7,49.4,4.3,1.7,81.4,45.9,76.2,28,SI,NO
191,CHACO,CH,LIBERTAD ,0,NO,SI,NO,67.8,82.1,85.6,89.8,12.2,82,54.7,3.5,79.1,57.9,84.6,42.3,NO,NO
192,CHACO,CH,LIBERTADOR GENERAL SAN MARTIN,2,SI,SI,NO,57.2,73.2,88.9,77.8,12.4,70.8,25.7,2.9,77.2,56.6,74.4,35.4,SI,SI
193,CHACO,CH,MAIPU,2,SI,SI,NO,52.5,48.7,38.7,67.6,9.7,57.8,15.4,1.8,79.4,41.1,70.5,26.9,SI,SI
194,CHACO,CH,MAYOR LUIS J FONTANA,3,SI,SI,NO,77.2,70.2,76.7,86,14.6,74,30.9,3,74.1,61,83.1,44.3,SI,SI
195,CHACO,CH,9 DE JULIO,2,SI,SI,NO,71.1,53.3,7,73.1,17.1,62.7,2.9,2.8,77.2,55.9,79.3,42.2,SI,SI
196,CHACO,CH,O'HIGGINS,1,SI,SI,NO,71.9,61.8,79.4,79.5,10.9,67.9,4.6,1.8,76.3,53.8,79.1,34.9,SI,NO
197,CHACO,CH,PRESIDENCIA DE LA PLAZA,1,SI,SI,NO,55.6,79.6,90.5,83.3,9.7,71.2,42.9,1.7,76,59.4,79.8,33.4,SI,SI
198,CHACO,CH,1° DE MAYO,0,NO,SI,NO,66.7,82.8,85.4,89.1,14.4,81.8,5,2.7,78.1,59.2,84.1,46,NO,NO
199,CHACO,CH,QUITILIPI,2,SI,SI,NO,60.4,63.2,78.6,78.5,13.2,63.8,34.7,3.6,76.1,46.4,77,35.9,NO,SI
200,CHACO,CH,SAN FERNANDO,20,SI,NO,NO,78.9,90.3,97.3,93.5,22.2,86.5,58.7,7.4,71.9,78.2,90.2,58.2,SI,NO
201,CHACO,CH,SAN LORENZO,2,SI,SI,NO,60.3,50.7,69,78.2,9.4,58.9,3.9,2.9,80.3,49.2,74.6,30.5,SI,NO
202,CHACO,CH,SARGENTO CABRAL,2,SI,SI,NO,54.2,70.1,81.4,82.9,11.2,66.1,10.8,2,80.8,49.5,78.9,34.4,SI,SI
203,CHACO,CH,TAPENAGA,0,NO,SI,NO,55.2,67.4,63.6,80.5,7.1,66.1,28.7,1.3,68.7,39.8,69.9,30.2,SI,SI
204,CHACO,CH,25 DE MAYO,2,SI,SI,NO,49.7,65.9,80.1,72,11.3,60.4,32.6,3.5,81.7,47.5,72.3,30.9,NO,SI
205,CORRIENTES,CR,BELLA VISTA,4,SI,SI,NO,68,82.2,79.1,84.9,16.7,83.1,55.2,2.2,75.4,55.7,83,42.5,SI,NO
206,CORRIENTES,CR,BERON DE ASTRADA,1,SI,SI,NO,54,76.1,90,81,12,82.8,7.4,2.7,83,17.6,78.5,27.9,NO,SI
207,CORRIENTES,CR,CAPITAL,20,SI,NO,NO,77.6,93,96.8,93.3,23.9,91.1,80.3,7.4,65.5,70.9,90.1,57.4,NO,SI
208,CORRIENTES,CR,CONCEPCION,2,SI,SI,NO,42.2,66,89.2,64.4,10.6,75,6.5,1.5,81,25.8,73.8,23.6,SI,NO
209,CORRIENTES,CR,CURUZU CUATIA,4,SI,SI,NO,74.9,89.5,89.4,89.2,17.1,86.7,76.9,2.6,72.3,67.7,83.5,43.9,NO,SI
210,CORRIENTES,CR,EMPEDRADO,1,SI,SI,NO,54.7,76,72.1,79.7,15.4,79.5,10.5,1.9,79,40.1,80.4,31.8,SI,NO
211,CORRIENTES,CR,ESQUINA,2,SI,SI,NO,60,74.6,62.9,82,17.1,77.1,49.2,3.3,71.5,58.9,78.9,40.7,NO,NO
212,CORRIENTES,CR,GENERAL ALVEAR,1,SI,SI,NO,71.8,89.9,90.3,89.6,17.6,87.8,25.8,2.1,72.5,43.9,79.9,34.6,SI,SI
213,CORRIENTES,CR,GENERAL PAZ,3,SI,SI,NO,51.5,79.6,83,77.9,15.6,78.1,40.6,2.5,77.9,29.7,76.4,28.6,SI,SI
214,CORRIENTES,CR,GOYA,4,SI,SI,NO,70.2,83.6,85.4,83.9,18.4,83.5,66.3,3.5,71.7,55.3,81.2,42.1,SI,NO
215,CORRIENTES,CR,ITATI,1,SI,SI,NO,56.3,85.6,79.4,84.9,21.1,82.4,28.7,1.9,76.4,31,79.4,27.5,NO,NO
216,CORRIENTES,CR,ITUZAINGO,3,SI,SI,NO,73.4,84.5,90.2,86.7,23.1,86.2,30.8,2.5,68.6,41.9,84.3,42,SI,NO
217,CORRIENTES,CR,LAVALLE,4,SI,SI,NO,44.9,63.8,73.7,67.5,10.3,66.8,35.2,2,75.5,35.6,78.8,26.5,NO,SI
218,CORRIENTES,CR,MBURUCUYA,1,SI,SI,NO,46.4,75.6,82.5,79.5,13.7,81.1,34.8,1.4,79.2,22.1,74,23.3,NO,SI
219,CORRIENTES,CR,MERCEDES,4,SI,SI,NO,75.1,93,90.6,93.7,17.5,90.9,69.1,2.7,74.9,61.4,83,43.3,SI,NO
220,CORRIENTES,CR,MONTE CASEROS,1,SI,SI,NO,82,93.6,90.5,93.3,16.3,92.3,84.2,2.2,68.8,67.9,84.3,48.7,NO,SI
221,CORRIENTES,CR,PASO DE LOS LIBRES,8,SI,NO,NO,76.4,90.6,88,92.2,20.8,89.2,70.1,4.6,69.3,54.8,83.8,45.6,SI,SI
222,CORRIENTES,CR,SALADAS,2,SI,SI,NO,54.7,77.9,84,78.9,14.1,77.8,44.4,2,76.9,40.4,78.6,32.8,SI,NO
223,CORRIENTES,CR,SAN COSME,2,SI,SI,NO,65.3,84.3,67.1,88.6,23.1,87.9,5.2,2.8,76.4,54.6,84.3,42.9,SI,NO
224,CORRIENTES,CR,SAN LUIS DEL PALMAR,2,SI,SI,NO,47.9,73,76.9,75.8,13,72.7,39.1,1.4,78.7,57.9,78.7,36,SI,SI
225,CORRIENTES,CR,SAN MARTIN,1,SI,SI,NO,69.2,91.1,91.3,91.1,13.7,89.8,45.2,2.1,73.5,34.8,77.9,30.4,SI,SI
226,CORRIENTES,CR,SAN MIGUEL,0,NO,SI,NO,41,67.2,85.5,64.1,12.4,68.2,4.7,1.9,78.4,31.8,77.8,31.9,NO,SI
227,CORRIENTES,CR,SAN ROQUE,1,SI,SI,NO,53,81,88.5,85.1,12.8,84.4,32.7,1.5,79.7,42.8,78.4,32,NO,NO
228,CORRIENTES,CR,SANTO TOME,6,SI,NO,NO,81.4,91.5,91.5,91.2,16.8,91.4,69,4,66.6,60.1,86.6,49.1,SI,NO
229,CORRIENTES,CR,SAUCE,2,SI,SI,NO,62.8,85.4,88.4,88.3,13.8,84.5,58.4,1.8,77.7,63.6,80.2,38.8,SI,SI
230,CHUBUT,CT,BIEDMA,7,SI,NO,NO,92.3,96.3,98.1,97.4,28.6,95.4,82.7,87.3,59.6,86.3,94.5,66.6,SI,SI
231,CHUBUT,CT,CUSHAMEN,4,SI,SI,NO,92.1,91.7,78.2,93.4,14.5,93.3,24.3,71.8,66,65.1,76.7,54.6,NO,SI
232,CHUBUT,CT,ESCALANTE,23,SI,NO,NO,95.1,96.7,98.4,97.8,28.4,96.5,88.9,90.3,60.5,78.4,92.5,66.1,SI,NO
233,CHUBUT,CT,FLORENTINO AMEGHINO,1,SI,SI,NO,90.7,91.8,83.8,98.2,12.7,97.5,5.2,73.6,56,76,83.9,48.4,NO,SI
234,CHUBUT,CT,FUTALEUFU,8,SI,NO,NO,94.3,96.6,94,96.7,21.8,97.3,87.1,91.9,59.2,81,90.7,65.6,NO,SI
235,CHUBUT,CT,GAIMAN,2,SI,SI,NO,92.7,95.5,95,96.7,17.8,95.1,45.3,83.5,63.1,74.3,87.9,56.3,SI,NO
236,CHUBUT,CT,GASTRE,0,NO,SI,NO,67.5,74.9,65.6,80.3,7.5,72,9.9,33.5,69.5,47.1,51.3,31.2,SI,NO
237,CHUBUT,CT,LANGUIÑEO,0,NO,SI,NO,87.1,90.4,82.3,91.8,7.1,88.9,68.7,45.2,68.1,63.4,67.1,38.2,SI,NO
238,CHUBUT,CT,MARTIRES,0,NO,SI,NO,81.9,86.7,66,90.4,6.7,86.9,59.2,1,59.8,48.9,55,25,SI,NO
239,CHUBUT,CT,PASO DE INDIOS,1,SI,SI,NO,84.7,89.8,80.2,92.4,6.7,87.7,55.2,30.9,68.8,51,66.7,33.9,SI,SI
240,CHUBUT,CT,RAWSON,13,SI,NO,NO,95.1,97.3,98.6,98,30.5,96.7,89,95.1,62.8,79.9,92.1,63.8,NO,SI
241,CHUBUT,CT,RIO SENGUER,2,SI,SI,NO,93.6,95.9,87.7,96.6,14.7,96.4,62.4,73.8,53.5,73.7,84,53.6,NO,NO
242,CHUBUT,CT,SARMIENTO,2,SI,SI,NO,95.5,98,96.4,98.3,19.8,97.6,85.1,94,53.7,79.9,90,61.1,NO,SI
243,CHUBUT,CT,TEHUELCHES,1,SI,SI,NO,91.3,95,91.2,96.5,10.1,96.3,54.9,85.1,61.7,66.8,79.9,46.1,NO,SI
244,CHUBUT,CT,TELSEN,0,NO,SI,NO,82.3,90.2,81.2,92.5,8.4,87.7,41.9,25.6,59.4,55.9,70.8,40,SI,NO
245,ENTRE RIOS,ER,COLON,8,SI,NO,NO,93.3,97.5,89.1,98,19.7,97.1,80.2,31.9,62.7,77.5,88.3,56.8,NO,SI
246,ENTRE RIOS,ER,CONCORDIA,8,SI,NO,NO,80.8,93.3,94.2,94.1,21.7,90.2,84.1,22.4,67.9,74.7,88.2,54,SI,SI
247,ENTRE RIOS,ER,DIAMANTE,6,SI,NO,NO,91.7,96.3,88.3,97.6,23,95.5,65.3,37.8,64.1,76,87.1,59,NO,NO
248,ENTRE RIOS,ER,FEDERACION,6,SI,NO,NO,89.3,96.1,89.4,95.9,19.4,96.8,86.6,18.7,67.2,74.6,88.1,50.8,SI,NO
249,ENTRE RIOS,ER,FEDERAL,2,SI,SI,NO,75.8,91,87.4,91,15.1,90.1,64.8,11.5,70.3,66,84.4,44.9,NO,SI
250,ENTRE RIOS,ER,FELICIANO,3,SI,SI,NO,69.7,86.9,84.4,87,14,86.1,70,7.6,75.6,65.7,82,42.9,NO,NO
251,ENTRE RIOS,ER,GUALEGUAY,4,SI,SI,NO,88.7,95.8,89.9,97,23,95.4,82.9,36.5,67.1,69.1,85.8,52.8,SI,SI
252,ENTRE RIOS,ER,GUALEGUAYCHU,8,SI,NO,NO,92.2,97.5,90.9,98.4,25.7,96.6,88.9,41.2,64.7,77.5,89,61,SI,NO
